outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,calibration_median,logistic_regression,skewness,6,7,7.0,0.03891264750145594,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,mean_absolute_value,7,12,11.0,0.03220796069479191,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,root_mean_square,8,20,16.0,0.024844358164458003,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,peak_to_peak,9,28,,0.016083869960531225,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,waveform_length,10,5,5.0,0.04522368248657323,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,zero_crossing_count,11,27,,0.017952206953394563,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,slope_sign_change_count,12,17,14.0,0.02748849763437662,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,approximate_entropy,13,6,6.0,0.039987040719407035,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,permutation_entropy,14,18,,0.02743326379717678,True,True,False,correlation_pruning
491,common_rows,calibration_median,logistic_regression,fuzzy_entropy,15,2,2.0,0.06619471786419817,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,distribution_entropy,16,33,,0.012658707462586339,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,svd_entropy,17,3,3.0,0.050853779997963075,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,lempel_ziv_complexity,18,4,4.0,0.045734719873180056,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,hjorth_mobility,19,11,,0.03271360711096643,True,True,False,correlation_pruning
491,common_rows,calibration_median,logistic_regression,hjorth_complexity,20,24,,0.021717157171060618,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,katz_fractal_dimension,21,32,,0.013132287733026056,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,higuchi_fractal_dimension,22,15,13.0,0.029624591200670434,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,detrended_fluctuation_analysis,23,19,15.0,0.025967614307205896,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,mean_frequency,24,13,,0.031727402144001694,True,True,False,correlation_pruning
491,common_rows,calibration_median,logistic_regression,median_frequency,25,8,8.0,0.03605694977125756,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,26,16,,0.029065733952877395,True,True,False,correlation_pruning
491,common_rows,calibration_median,logistic_regression,spectral_entropy,27,14,12.0,0.03146994730678557,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,AvgSampEn,28,31,,0.014917526841364563,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,MaxSampEn,29,22,,0.022982941068173352,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,MedianSampEn,30,9,9.0,0.03530681455744607,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,StdSampEn,31,25,,0.021096661758826966,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,KurtosisSampEn,32,29,,0.01603175796327482,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,SkewnessSampEn,33,30,,0.015276259029966386,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,AUC_SampEn,34,21,,0.024241406129732673,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,minimum,1,23,,0.022118285779578292,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,maximum,2,26,,0.018745267206859956,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,mean,3,34,,0.007599601988419728,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,median,4,1,1.0,0.07177327948511097,True,True,True,retained
491,common_rows,calibration_median,extra_trees,kurtosis,5,10,10.0,0.03285945438330164,True,True,True,retained
491,common_rows,calibration_median,extra_trees,skewness,6,7,7.0,0.03891264750145594,True,True,True,retained
491,common_rows,calibration_median,extra_trees,mean_absolute_value,7,12,11.0,0.03220796069479191,True,True,True,retained
491,common_rows,calibration_median,extra_trees,root_mean_square,8,20,16.0,0.024844358164458003,True,True,True,retained
491,common_rows,calibration_median,extra_trees,peak_to_peak,9,28,,0.016083869960531225,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,waveform_length,10,5,5.0,0.04522368248657323,True,True,True,retained
491,common_rows,calibration_median,extra_trees,zero_crossing_count,11,27,,0.017952206953394563,True,False,False,top_k
