outer_fold_patient_id,evaluation_mode,normalization,classifier,removed_feature,retained_feature,absolute_spearman_correlation,threshold
906,common_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,common_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,common_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.950239503893528,0.9
906,common_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
906,common_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,common_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,common_rows,calibration_median_iqr,logistic_regression,mean_frequency,median_frequency,0.9205722030883918,0.9
906,common_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
906,common_rows,calibration_median_iqr,extra_trees,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,common_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,common_rows,calibration_median_iqr,extra_trees,mean_frequency,median_frequency,0.9205722030883918,0.9
906,common_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
906,common_rows,calibration_median_iqr,random_forest,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,common_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,common_rows,calibration_median_iqr,random_forest,mean_frequency,median_frequency,0.9205722030883918,0.9
906,common_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
906,native_rows,none,logistic_regression,root_mean_square,mean_absolute_value,0.9028704597662882,0.9
906,native_rows,none,logistic_regression,median_frequency,hjorth_complexity,0.9311611496148214,0.9
906,native_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,0.9631330182970415,0.9
906,native_rows,none,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,0.9006962197603348,0.9
906,native_rows,none,extra_trees,root_mean_square,mean_absolute_value,0.9028704597662882,0.9
906,native_rows,none,extra_trees,median_frequency,hjorth_complexity,0.9311611496148214,0.9
906,native_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,0.9631330182970415,0.9
906,native_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,0.9006962197603348,0.9
906,native_rows,none,random_forest,root_mean_square,mean_absolute_value,0.9028704597662882,0.9
906,native_rows,none,random_forest,median_frequency,hjorth_complexity,0.9311611496148214,0.9
906,native_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,0.9631330182970415,0.9
906,native_rows,none,random_forest,hjorth_mobility,spectral_edge_frequency_95,0.9006962197603348,0.9
906,native_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.962041208000329,0.9
906,native_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,0.9312493545542198,0.9
906,native_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9765521151364298,0.9
906,native_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.962041208000329,0.9
906,native_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,0.9312493545542198,0.9
906,native_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9765521151364298,0.9
906,native_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.962041208000329,0.9
906,native_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,0.9312493545542198,0.9
906,native_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9765521151364298,0.9
906,native_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,native_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,native_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.950239503893528,0.9
906,native_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
906,native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,native_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,native_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.950239503893528,0.9
906,native_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
906,native_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,native_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,native_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.950239503893528,0.9
906,native_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
906,native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,native_rows,calibration_median_iqr,logistic_regression,mean_frequency,median_frequency,0.9205722030883918,0.9
906,native_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
906,native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,native_rows,calibration_median_iqr,extra_trees,mean_frequency,median_frequency,0.9205722030883918,0.9
906,native_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
906,native_rows,calibration_median_iqr,random_forest,hjorth_mobility,svd_entropy,0.9809027560183897,0.9
906,native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,svd_entropy,0.9738944381867601,0.9
906,native_rows,calibration_median_iqr,random_forest,mean_frequency,median_frequency,0.9205722030883918,0.9
906,native_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,0.996495770315394,0.9
